version,category,summary,type,merge,reason,status
0.79.2,Provider,Bedrock data retention validation 链接 AWS 文档,feature,0,本地不重点使用 Bedrock,
0.79.2,UX,实验性首次设置流程 (PI_EXPERIMENTAL=1),feature,0,本地已有自定义 onboarding,
0.79.2,Security,项目信任检测从 $HOME 运行时忽略全局 ~/.pi/agent 状态,fix,1,安全修复 影响信任判定逻辑,已合并
0.79.2,Security,实验性首次设置跳过 forked sessions,fix,0,不使用实验性设置,
0.79.2,Provider,OpenAI-compat context overflow 检测括号化错误信息,fix,1,影响错误分类和自动 compaction,已合并
0.79.2,Provider,GPT-5.4/5.5 和 Codex 上下文窗口元数据匹配 OpenAI 限制,fix,1,计费风险修复,已合并
0.79.2,Provider,Anthropic refusal stops 保留 stop_details 解释,fix,1,错误信息完整性,已合并
0.79.2,Provider,OpenAI Codex SSE response-header timeout 增至 20s,fix,0,特定 provider 调优,
0.79.2,Provider,Claude Fable 5 thinking-off 省略 disabled payload,fix,1,新模型兼容,已合并
0.79.2,Stability,late tool progress callbacks 被忽略而非发射陈旧事件,fix,1,稳定性修复,已合并
0.79.2,UX,user-message transcript 渲染 standalone + 不再显示为 -,fix,0,纯显示修复,
0.79.2,UX,slash-separated fuzzy queries provider/model 可匹配,fix,0,交互细节,
0.79.2,UX,WezTerm inline Kitty image reserved row clears,fix,0,特定终端,
0.79.2,UX,editor wrapping CJK text 字符边界换行,fix,1,中文用户体验,已合并
0.79.2,UX,loose Markdown list 渲染保留列表项间空行,fix,0,纯显示,
0.79.2,Provider,--model resolution 自定义模型 ID slash 前缀匹配,fix,1,模型选择正确性,已合并
0.79.2,Session,/fork 保持 session parent chains 连接 (路径含 labels),fix,0,session 细节,
0.79.2,UX,/share 和 /export HTML 使用 fallback theme,fix,0,纯显示,
0.79.2,Provider,custom fallback model ID :<thinking> 后缀保留 thinking level,fix,1,thinking level 正确传递,已合并
0.79.3,Provider,GPT-5.4/5.5 Codex 上下文窗口 272k 限制,fix,1,计费风险修复,已合并
0.79.4,Distribution,SHA256SUMS 完整性文件加入 release assets,feature,0,发行流程,
0.79.4,UX,首次运行交互式主题检测终端背景色,feature,0,本地已有自定义,
0.79.4,Tools,bash output collection 子进程退出后继续 drain,fix,1,输出截断修复,已合并
0.79.4,UX,/tree help rendering 窄终端换行,fix,0,纯显示,
0.79.4,Stability,SIGTERM/SIGHUP signal handlers 保持到终端清理完成,fix,1,终端状态修复,已合并
0.79.4,Docs,extensions docs getActiveTools vs getAllTools,fix,0,文档,
0.79.4,UX,question/questionnaire extension 长文本换行,fix,0,示例扩展,
0.79.4,Stability,package commands (pi list/install/update) 终止即使扩展留有后台 handle,fix,1,进程退出修复,已合并
0.79.4,Distribution,pi update pnpm global-bin-dir 不匹配,fix,0,发行流程,
0.79.4,Distribution,npm package specs ranges/tags 不再视为不匹配,fix,0,包管理,
0.79.4,Provider,Anthropic 1-hour prompt-cache write cost 2x input,fix,1,计费准确性,已合并
0.79.4,Provider,GitHub Copilot Claude adaptive-thinking effort 元数据,fix,0,不使用 Copilot,
0.79.4,Provider,OpenCode/OpenCode Go 省略不支持的长缓存字段,fix,0,不使用 OpenCode,
0.79.4,UX,overlay compositing over CJK wide characters 边框对齐,fix,1,中文用户体验,已合并
